id,title,description,category,resolution,priority,scenario_id
636,Offboarding access revocation for j.singh,[TCK-71606] Support desk logged the following: leaver j.singh has left the company and all their access needs to be revoked immediately. Awaiting assignment to the right team.,Access Management,"Disabled the j.singh account, revoked all group memberships and tokens, and transferred owned resources to their manager.",Medium,4
637,Login broken on CRM,[TCK-18056] Support desk logged the following: no user can log in to CRM; the login page accepts credentials then redirects back to itself. Awaiting assignment to the right team.,Application,The CRM session cookie domain was misconfigured after a deploy; corrected the cookie settings and cleared the CDN cache to fix login.,Low,2
638,Server PRD-AUTH-05 unresponsive after reboot,[TCK-49932] We are observing that PRD-AUTH-05 failed to come back online following a scheduled reboot and is not responding to SSH or ping. Requesting priority attention from the relevant team.,Infrastructure,Console access to PRD-AUTH-05 showed a failed fstab mount blocking boot; corrected the mount entry and the host booted cleanly.,High,1
639,Service on port 3306 unreachable from Ahmedabad Office,[TCK-14203] Issue summary: users at Ahmedabad Office cannot connect to an internal service on port 3306 although it works from other sites. It started earlier today and has not self-resolved.,Network,A routing change had removed the path from Ahmedabad Office to the service subnet on port 3306; restored the missing route and confirmed connectivity from Ahmedabad Office.,High,8
640,Service on port 3306 unreachable from Mumbai HQ,[TCK-29075] User d.mehta reports that users at Mumbai HQ cannot connect to an internal service on port 3306 although it works from other sites. Kindly look into this at the earliest.,Network,A routing change had removed the path from Mumbai HQ to the service subnet on port 3306; restored the missing route and confirmed connectivity from Mumbai HQ.,Medium,8
641,Can't pull up records in HR Self-Service,[TCK-82240] Flagged during routine checks: trying to view customer or order records in HR Self-Service just spins and then shows an error saying it cannot reach the records system. Please confirm root cause and next steps.,Database,"The application server's connection pool to sessions_redis had exhausted; restarted the pooler and verified HR Self-Service could reach sessions_redis again, restoring record lookups.",Low,6
642,Reports in Field Service App won't generate,[TCK-70764] We are observing that users trying to run reports in Field Service App get stuck loading forever and eventually see a timeout error about the underlying data source. Requesting priority attention from the relevant team.,Database,Found the report queries in Field Service App were timing out against catalog_pg due to a missing index; added the index and reports now generate within seconds.,Medium,8
643,Slow read/write on \\fs02\shared,"[TCK-41683] Flagged during routine checks: read and write performance on \\fs02\shared has degraded severely, with file operations timing out. Please confirm root cause and next steps.",Storage,A failing disk in the array behind \\fs02\shared was causing rebuild-related slowness; replaced the disk and performance returned to normal.,Medium,2
644,Field Service App integration with AWS failing,[TCK-85493] Issue summary: the Field Service App integration with AWS has stopped syncing and shows repeated authentication failures. It started earlier today and has not self-resolved.,Application,"The AWS API credentials used by Field Service App had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
645,Malware detected on endpoint of s.khan,[TCK-86915] Flagged during routine checks: the EDR agent flagged and quarantined a trojan on the workstation belonging to s.khan. Please confirm root cause and next steps.,Security,"Isolated the endpoint of s.khan from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",Medium,2
646,Payroll returning HTTP 500 errors,[TCK-50487] User m.chatterjee reports that users of the Payroll application are intermittently getting HTTP 500 errors when submitting forms. Kindly look into this at the earliest.,Application,Traced the Payroll 500s to an unhandled null in the request handler; deployed a hotfix and added input validation with a regression test.,Medium,0
647,RAID array degraded on PRD-AUTH-05,"[TCK-48796] Support desk logged the following: the storage array on PRD-AUTH-05 is reporting a degraded state after a single drive failed, running without redundancy. Awaiting assignment to the right team.",Storage,"Replaced the failed drive in the PRD-AUTH-05 array, let the array rebuild, and confirmed full redundancy was restored with no data loss.",Medium,7
648,NFS mount dropping on PRD-CACHE-02,"[TCK-47242] Reported by the Ahmedabad Office team: the NFS mount on PRD-CACHE-02 keeps dropping, causing applications to see missing files intermittently. Please investigate and resolve.",Storage,Tuned the NFS mount options on PRD-CACHE-02 to use hard mounts with proper timeouts and pinned the client to a stable server address.,High,4
649,Storage quota exceeded for Chennai Support,[TCK-88603] User v.nair reports that the Chennai Support team has hit its storage quota and can no longer save new files to their share. Kindly look into this at the earliest.,Storage,"Reviewed usage for Chennai Support, archived stale data to cold storage, and raised their quota after manager approval.",High,5
650,MFA reset request for p.reddy,[TCK-53607] Reported by the Hyderabad Office team: user p.reddy lost their phone and cannot complete multi-factor authentication to sign in. Please investigate and resolve.,Access Management,"Verified p.reddy out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Low,5
651,Procurement Portal integration with Salesforce failing,[TCK-82498] Flagged during routine checks: the Procurement Portal integration with Salesforce has stopped syncing and shows repeated authentication failures. Please confirm root cause and next steps.,Application,"The Salesforce API credentials used by Procurement Portal had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
652,Scheduled job failing on K8S-NODE-15,[TCK-54284] Reported by the Chennai Support team: the nightly batch job on K8S-NODE-15 has failed three consecutive runs with a non-zero exit code. Please investigate and resolve.,Infrastructure,Found the cron job on K8S-NODE-15 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,High,5
653,Login broken on Payroll,[TCK-16376] Support desk logged the following: no user can log in to Payroll; the login page accepts credentials then redirects back to itself. Awaiting assignment to the right team.,Application,The Payroll session cookie domain was misconfigured after a deploy; corrected the cookie settings and cleared the CDN cache to fix login.,High,2
654,Intermittent connectivity at Hyderabad Office,[TCK-13847] Issue summary: users at Hyderabad Office are experiencing intermittent network drops every few minutes. It started earlier today and has not self-resolved.,Network,A failing uplink switch at Hyderabad Office was flapping; replaced the faulty switch and reconfigured link redundancy to prevent single-point drops.,Low,0
655,Storage quota exceeded for Kolkata Branch,[TCK-40371] Issue summary: the Kolkata Branch team has hit its storage quota and can no longer save new files to their share. It started earlier today and has not self-resolved.,Storage,"Reviewed usage for Kolkata Branch, archived stale data to cold storage, and raised their quota after manager approval.",Medium,5
656,Deadlocks reported on billing_mysql,[TCK-85297] Ticket raised because the application logs show frequent deadlock errors originating from transactions against billing_mysql. This is impacting daily work.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on billing_mysql and shortened transaction scope, eliminating deadlocks.",Low,3
657,Shared mailbox access request for d.mehta,[TCK-17408] We are observing that user d.mehta needs delegated access to the Chennai Support shared mailbox to cover for a colleague on leave. Requesting priority attention from the relevant team.,Access Management,"Granted d.mehta delegate permissions on the Chennai Support shared mailbox, confirmed it appeared in their client, and set the access to expire when the colleague returns.",Medium,6
658,MFA reset request for p.menon,[TCK-44291] We are observing that user p.menon lost their phone and cannot complete multi-factor authentication to sign in. Requesting priority attention from the relevant team.,Access Management,"Verified p.menon out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Low,5
659,Offboarding access revocation for s.khan,[TCK-13133] Ticket raised because leaver s.khan has left the company and all their access needs to be revoked immediately. This is impacting daily work.,Access Management,"Disabled the s.khan account, revoked all group memberships and tokens, and transferred owned resources to their manager.",Low,4
660,VPN failing for Kolkata Branch users,[TCK-17910] Issue summary: remote users from Kolkata Branch cannot establish a VPN connection and get a timeout during negotiation. It started earlier today and has not self-resolved.,Network,"The VPN concentrator serving Kolkata Branch had exhausted its IP pool; enlarged the pool and cleared stale sessions, restoring VPN access.",Low,1
661,Deadlocks reported on orders_pg,[TCK-60176] Monitoring alerted us that the application logs show frequent deadlock errors originating from transactions against orders_pg. Escalating for investigation.,Database,"Reordered the conflicting write operations to acquire locks in a consistent order on orders_pg and shortened transaction scope, eliminating deadlocks.",Low,3
662,Permissions incorrect on \\fs02\shared,[TCK-60127] Ticket raised because several Delhi Sales users report they can see the folder \\fs02\shared but get 'access denied' when opening files inside it. This is impacting daily work.,Storage,Corrected the inherited NTFS permissions on \\fs02\shared for the relevant Delhi Sales group and re-propagated ACLs so the files opened as expected.,High,6
663,Role change access review for s.joshi,[TCK-78678] Reported by the Delhi Sales team: user s.joshi has moved teams and still holds permissions from their previous HR Self-Service role that need to be reconciled. Please investigate and resolve.,Access Management,"Reviewed the entitlements for s.joshi, removed the obsolete HR Self-Service permissions from the prior role, and assigned the correct role for their new team.",High,7
664,Billing Portal crashes on file upload,[TCK-65846] User r.desai reports that Billing Portal crashes with a 502 whenever a user attempts to upload a file larger than a few megabytes. Kindly look into this at the earliest.,Application,"Raised the upload body-size limit in the Billing Portal reverse proxy and worker config, then verified large uploads complete successfully.",High,3
665,Reports in Ticketing System won't generate,[TCK-84983] Flagged during routine checks: users trying to run reports in Ticketing System get stuck loading forever and eventually see a timeout error about the underlying data source. Please confirm root cause and next steps.,Database,Found the report queries in Ticketing System were timing out against audit_mysql due to a missing index; added the index and reports now generate within seconds.,High,8
666,Malware detected on endpoint of p.reddy,[TCK-10110] Flagged during routine checks: the EDR agent flagged and quarantined a trojan on the workstation belonging to p.reddy. Please confirm root cause and next steps.,Security,"Isolated the endpoint of p.reddy from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",Medium,2
667,Can't pull up records in Payroll,[TCK-46178] User j.singh reports that trying to view customer or order records in Payroll just spins and then shows an error saying it cannot reach the records system. Kindly look into this at the earliest.,Database,"The application server's connection pool to customers_pg had exhausted; restarted the pooler and verified Payroll could reach customers_pg again, restoring record lookups.",High,6
668,Group membership change for p.menon,[TCK-54991] Support desk logged the following: manager requests that p.menon be added to the Ahmedabad Office finance security group. Awaiting assignment to the right team.,Access Management,Added p.menon to the requested Ahmedabad Office security group after manager approval and verified the new permissions took effect.,Low,3
669,Data corruption suspected on catalog_pg,[TCK-18324] We are observing that queries against catalog_pg are returning inconsistent row counts and the application flags checksum mismatches on some tables. Requesting priority attention from the relevant team.,Database,"Ran consistency checks on catalog_pg, identified a corrupted index from an unclean shutdown, rebuilt the affected indexes, and validated integrity against the last good backup.",Medium,9
670,Reports in Ticketing System won't generate,[TCK-72918] Support desk logged the following: users trying to run reports in Ticketing System get stuck loading forever and eventually see a timeout error about the underlying data source. Awaiting assignment to the right team.,Database,Found the report queries in Ticketing System were timing out against orders_pg due to a missing index; added the index and reports now generate within seconds.,High,8
671,Scheduled job failing on VM-BATCH-10,[TCK-86379] Ticket raised because the nightly batch job on VM-BATCH-10 has failed three consecutive runs with a non-zero exit code. This is impacting daily work.,Infrastructure,Found the cron job on VM-BATCH-10 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,Low,5
672,Wi-Fi outage at Bangalore DC,[TCK-21587] Flagged during routine checks: the wireless network at Bangalore DC is down and no devices can associate to any access point. Please confirm root cause and next steps.,Network,The wireless controller at Bangalore DC had lost its config after a power event; restored the configuration and access points came back online.,High,5
673,New joiner access request for m.iyer,"[TCK-98304] Monitoring alerted us that new employee m.iyer needs standard access provisioned to email, Learning Management System, and the Delhi Sales file shares. Escalating for investigation.",Access Management,"Provisioned m.iyer with the standard role granting email, Learning Management System, and Delhi Sales share access, and confirmed successful first login.",Low,0
674,Expense Tracker extremely slow to load,"[TCK-16829] Issue summary: the Expense Tracker application takes over 30 seconds to load pages, up from the usual sub-second response. It started earlier today and has not self-resolved.",Application,"A missing database index behind Expense Tracker was causing full table scans; added the index and enabled query caching, restoring fast page loads.",Medium,1
675,Group membership change for m.iyer,[TCK-12116] Ticket raised because manager requests that m.iyer be added to the Hyderabad Office finance security group. This is impacting daily work.,Access Management,Added m.iyer to the requested Hyderabad Office security group after manager approval and verified the new permissions took effect.,Low,3
676,DNS resolution failing for Vendor Portal,"[TCK-84907] User t.rao reports that clients cannot resolve the hostname for Vendor Portal, receiving NXDOMAIN responses. Kindly look into this at the earliest.",Network,"A stale DNS record for Vendor Portal was corrected on the authoritative server and the resolver caches were flushed, restoring resolution.",Medium,3
677,billing_mysql backup job failing,[TCK-50270] Reported by the Pune Branch team: the nightly backup for billing_mysql has failed for two days and no recent restore point exists. Please investigate and resolve.,Database,"The billing_mysql backup was failing due to insufficient target disk space; expanded the backup volume, reran the job, and verified a test restore.",Medium,4
678,Autovacuum not keeping up on warehouse_pg,[TCK-44965] We are observing that warehouse_pg is showing severe table bloat and rising query times because dead tuples are accumulating faster than they are cleaned up. Requesting priority attention from the relevant team.,Database,"Tuned the autovacuum thresholds and cost limits on warehouse_pg, ran a manual vacuum on the worst tables, and query performance and disk usage recovered.",Low,11
679,Learning Management System scheduled report emails not sending,[TCK-64401] We are observing that the scheduled report emails from Learning Management System have silently stopped going out and users are not receiving their daily summaries. Requesting priority attention from the relevant team.,Application,"The outbound mail worker for Learning Management System had a stuck queue after an SMTP change; updated the mailer settings, drained the queue, and confirmed reports resumed.",Low,6
680,Vendor Portal integration with Workday failing,[TCK-75828] Flagged during routine checks: the Vendor Portal integration with Workday has stopped syncing and shows repeated authentication failures. Please confirm root cause and next steps.,Application,"The Workday API credentials used by Vendor Portal had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",High,5
681,File share \\fs01\hr inaccessible,[TCK-39005] Support desk logged the following: users cannot access the network file share \\fs01\hr; it returns 'network path not found'. Awaiting assignment to the right team.,Storage,"The share service backing \\fs01\hr had crashed; restarted it, verified permissions, and remapped the share for affected users.",Medium,0
682,Firewall blocking port 3306,[TCK-83872] User m.iyer reports that a required service is unreachable because traffic on port 3306 appears to be blocked by the firewall. Kindly look into this at the earliest.,Network,Added an explicit firewall allow rule for port 3306 scoped to the required source ranges and verified the service became reachable.,Medium,4
683,Brute-force attack against HR Self-Service login,[TCK-96146] User v.nair reports that monitoring shows a high-volume password-guessing attack hammering the HR Self-Service login endpoint from many IP addresses. Kindly look into this at the earliest.,Security,"Enabled rate limiting and account lockout on the HR Self-Service login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
684,Permissions incorrect on \\nas03\projects,[TCK-22355] We are observing that several Remote/WFH users report they can see the folder \\nas03\projects but get 'access denied' when opening files inside it. Requesting priority attention from the relevant team.,Storage,Corrected the inherited NTFS permissions on \\nas03\projects for the relevant Remote/WFH group and re-propagated ACLs so the files opened as expected.,Low,6
685,Phishing email reported by m.iyer,[TCK-77305] We are observing that user m.iyer reported a phishing email with a credential-harvesting link that several staff may have clicked. Requesting priority attention from the relevant team.,Security,"Removed the phishing message from all mailboxes via mail-flow rules, blocked the sender domain, and reset passwords for affected users.",High,1
686,MFA reset request for v.nair,[TCK-87525] Issue summary: user v.nair lost their phone and cannot complete multi-factor authentication to sign in. It started earlier today and has not self-resolved.,Access Management,"Verified v.nair out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Low,5
687,Malware detected on endpoint of n.gupta,[TCK-40384] Ticket raised because the EDR agent flagged and quarantined a trojan on the workstation belonging to n.gupta. This is impacting daily work.,Security,"Isolated the endpoint of n.gupta from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",Medium,2
688,DHCP not assigning addresses at Kolkata Branch,[TCK-18962] User a.kulkarni reports that new devices at Kolkata Branch are failing to get an IP address and fall back to self-assigned addresses. Kindly look into this at the earliest.,Network,"The DHCP scope for Kolkata Branch had exhausted its available leases; expanded the scope range and shortened the lease time, and devices began getting addresses again.",High,7
689,Failover did not promote replica for catalog_pg,"[TCK-33356] Flagged during routine checks: the primary for catalog_pg went down but the standby replica never got promoted, leaving the application without a writable database. Please confirm root cause and next steps.",Database,"Manually promoted the catalog_pg replica to primary, repointed the application connection string, and fixed the failover automation that had a stale health-check.",Medium,10
690,Payroll extremely slow to load,"[TCK-79523] User p.menon reports that the Payroll application takes over 30 seconds to load pages, up from the usual sub-second response. Kindly look into this at the earliest.",Application,"A missing database index behind Payroll was causing full table scans; added the index and enabled query caching, restoring fast page loads.",High,1
691,Stale data shown in Procurement Portal,[TCK-56911] Support desk logged the following: Procurement Portal is displaying data that is several hours out of date despite the source having been updated. Awaiting assignment to the right team.,Application,The Procurement Portal cache was not being invalidated on write; fixed the cache-busting key and reduced the TTL so users see current data.,Medium,4
692,orders_pg backup job failing,[TCK-61573] Reported by the Chennai Support team: the nightly backup for orders_pg has failed for two days and no recent restore point exists. Please investigate and resolve.,Database,"The orders_pg backup was failing due to insufficient target disk space; expanded the backup volume, reran the job, and verified a test restore.",High,4
693,Payroll throwing errors after latest deploy,"[TCK-91762] Monitoring alerted us that immediately after the most recent Payroll release, users are seeing unexpected errors on pages that worked yesterday. Escalating for investigation.",Application,"A missed database migration accompanied the Payroll deploy; ran the pending migration and redeployed, and the post-release errors cleared.",Low,8
694,Phishing email reported by s.khan,[TCK-41025] User s.khan reports that user s.khan reported a phishing email with a credential-harvesting link that several staff may have clicked. Kindly look into this at the earliest.,Security,"Removed the phishing message from all mailboxes via mail-flow rules, blocked the sender domain, and reset passwords for affected users.",High,1
695,New joiner access request for a.patel,"[TCK-40785] Reported by the Hyderabad Office team: new employee a.patel needs standard access provisioned to email, Ticketing System, and the Hyderabad Office file shares. Please investigate and resolve.",Access Management,"Provisioned a.patel with the standard role granting email, Ticketing System, and Hyderabad Office share access, and confirmed successful first login.",Low,0
696,Brute-force attack against Field Service App login,[TCK-89034] Support desk logged the following: monitoring shows a high-volume password-guessing attack hammering the Field Service App login endpoint from many IP addresses. Awaiting assignment to the right team.,Security,"Enabled rate limiting and account lockout on the Field Service App login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
697,Storage volume nearly full,[TCK-35227] Flagged during routine checks: the primary storage volume is at 96% capacity and writes are beginning to fail for several services. Please confirm root cause and next steps.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",Medium,1
698,Scheduled job failing on PRD-APP-04,[TCK-50250] Issue summary: the nightly batch job on PRD-APP-04 has failed three consecutive runs with a non-zero exit code. It started earlier today and has not self-resolved.,Infrastructure,Found the cron job on PRD-APP-04 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,Medium,5
699,Inventory Manager integration with GCP failing,[TCK-72784] We are observing that the Inventory Manager integration with GCP has stopped syncing and shows repeated authentication failures. Requesting priority attention from the relevant team.,Application,"The GCP API credentials used by Inventory Manager had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
700,Packet loss on the link to Remote/WFH,"[TCK-87484] Flagged during routine checks: the WAN link to Remote/WFH is showing steady packet loss, causing choppy calls and dropped sessions. Please confirm root cause and next steps.",Network,Isolated the packet loss to a faulty circuit segment on the Remote/WFH link; the carrier replaced the segment and loss dropped back to zero.,Low,6
701,Expired TLS certificate on Field Service App,[TCK-49850] User p.menon reports that the TLS certificate for Field Service App has expired and browsers are showing security warnings to all users. Kindly look into this at the earliest.,Security,"Reissued and installed a valid TLS certificate for Field Service App, then configured auto-renewal via ACME to prevent recurrence.",High,3
702,CRM crashes on file upload,[TCK-31734] Support desk logged the following: CRM crashes with a 502 whenever a user attempts to upload a file larger than a few megabytes. Awaiting assignment to the right team.,Application,"Raised the upload body-size limit in the CRM reverse proxy and worker config, then verified large uploads complete successfully.",High,3
703,Firewall blocking port 6379,[TCK-37145] Ticket raised because a required service is unreachable because traffic on port 6379 appears to be blocked by the firewall. This is impacting daily work.,Network,Added an explicit firewall allow rule for port 6379 scoped to the required source ranges and verified the service became reachable.,High,4
704,Shared mailbox access request for r.sharma,[TCK-31343] We are observing that user r.sharma needs delegated access to the Delhi Sales shared mailbox to cover for a colleague on leave. Requesting priority attention from the relevant team.,Access Management,"Granted r.sharma delegate permissions on the Delhi Sales shared mailbox, confirmed it appeared in their client, and set the access to expire when the colleague returns.",Low,6
705,Storage volume nearly full,[TCK-65627] Flagged during routine checks: the primary storage volume is at 96% capacity and writes are beginning to fail for several services. Please confirm root cause and next steps.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",High,1
706,File share \\nas05\engineering inaccessible,[TCK-55927] We are observing that users cannot access the network file share \\nas05\engineering; it returns 'network path not found'. Requesting priority attention from the relevant team.,Storage,"The share service backing \\nas05\engineering had crashed; restarted it, verified permissions, and remapped the share for affected users.",High,0
707,Expired TLS certificate on Expense Tracker,[TCK-92001] Support desk logged the following: the TLS certificate for Expense Tracker has expired and browsers are showing security warnings to all users. Awaiting assignment to the right team.,Security,"Reissued and installed a valid TLS certificate for Expense Tracker, then configured auto-renewal via ACME to prevent recurrence.",High,3
708,Disk full on audit_mysql host,[TCK-67586] Reported by the Pune Branch team: the data volume for audit_mysql is at 100% usage and the database has switched to read-only mode. Please investigate and resolve.,Database,"Archived old WAL/transaction logs and expanded the audit_mysql data volume, then brought the database back into read-write mode.",Medium,5
709,High CPU on server VM-BATCH-09,"[TCK-57516] Issue summary: sustained CPU utilization above 95% on VM-BATCH-09 for the last 40 minutes, causing request timeouts. It started earlier today and has not self-resolved.",Infrastructure,"Identified a runaway process on VM-BATCH-09, capped its cgroup CPU quota, and scaled the service horizontally to shed load.",Low,0
710,Autovacuum not keeping up on sessions_redis,[TCK-47396] Monitoring alerted us that sessions_redis is showing severe table bloat and rising query times because dead tuples are accumulating faster than they are cleaned up. Escalating for investigation.,Database,"Tuned the autovacuum thresholds and cost limits on sessions_redis, ran a manual vacuum on the worst tables, and query performance and disk usage recovered.",Medium,11
711,Intermittent connectivity at Remote/WFH,[TCK-54045] User s.khan reports that users at Remote/WFH are experiencing intermittent network drops every few minutes. Kindly look into this at the earliest.,Network,A failing uplink switch at Remote/WFH was flapping; replaced the faulty switch and reconfigured link redundancy to prevent single-point drops.,Medium,0
712,HR Self-Service scheduled report emails not sending,[TCK-41417] Reported by the Kolkata Branch team: the scheduled report emails from HR Self-Service have silently stopped going out and users are not receiving their daily summaries. Please investigate and resolve.,Application,"The outbound mail worker for HR Self-Service had a stuck queue after an SMTP change; updated the mailer settings, drained the queue, and confirmed reports resumed.",High,6
713,Failover did not promote replica for warehouse_pg,"[TCK-42065] Flagged during routine checks: the primary for warehouse_pg went down but the standby replica never got promoted, leaving the application without a writable database. Please confirm root cause and next steps.",Database,"Manually promoted the warehouse_pg replica to primary, repointed the application connection string, and fixed the failover automation that had a stale health-check.",Medium,10
714,Suspicious login attempts on account m.chatterjee,[TCK-98049] Flagged during routine checks: multiple failed login attempts followed by a success on account m.chatterjee from an unfamiliar country. Please confirm root cause and next steps.,Security,"Locked account m.chatterjee, forced a credential reset and MFA re-enrolment, and confirmed no data exfiltration occurred in the session logs.",High,0
715,Service on port 9092 unreachable from Ahmedabad Office,[TCK-42324] Support desk logged the following: users at Ahmedabad Office cannot connect to an internal service on port 9092 although it works from other sites. Awaiting assignment to the right team.,Network,A routing change had removed the path from Ahmedabad Office to the service subnet on port 9092; restored the missing route and confirmed connectivity from Ahmedabad Office.,Low,8
716,VPN failing for Pune Branch users,[TCK-64273] Ticket raised because remote users from Pune Branch cannot establish a VPN connection and get a timeout during negotiation. This is impacting daily work.,Network,"The VPN concentrator serving Pune Branch had exhausted its IP pool; enlarged the pool and cleared stale sessions, restoring VPN access.",High,1
717,Expired TLS certificate on Vendor Portal,[TCK-29565] Support desk logged the following: the TLS certificate for Vendor Portal has expired and browsers are showing security warnings to all users. Awaiting assignment to the right team.,Security,"Reissued and installed a valid TLS certificate for Vendor Portal, then configured auto-renewal via ACME to prevent recurrence.",High,3
718,Cannot mount \\fs01\hr on new machines,"[TCK-99821] Monitoring alerted us that recently provisioned machines fail to map the file share \\fs01\hr, though existing machines connect fine. Escalating for investigation.",Storage,The new machines were missing the updated SMB protocol setting required by \\fs01\hr; pushed the correct client configuration via policy and the share mapped successfully.,Low,8
719,warehouse_pg running out of connections,[TCK-47360] Flagged during routine checks: warehouse_pg is rejecting new connections with a 'too many connections' error during peak traffic. Please confirm root cause and next steps.,Database,Introduced a connection pooler in front of warehouse_pg and lowered per-service pool sizes; connection exhaustion no longer occurs at peak.,High,1
720,Reports in Procurement Portal won't generate,[TCK-19658] Reported by the Remote/WFH team: users trying to run reports in Procurement Portal get stuck loading forever and eventually see a timeout error about the underlying data source. Please investigate and resolve.,Database,Found the report queries in Procurement Portal were timing out against catalog_pg due to a missing index; added the index and reports now generate within seconds.,High,8
721,Load balancer dropping backends behind PRD-AUTH-05,[TCK-58567] We are observing that the load balancer keeps marking PRD-AUTH-05 as unhealthy and pulling it out of rotation despite the service running. Requesting priority attention from the relevant team.,Infrastructure,"The health-check endpoint on PRD-AUTH-05 was timing out under load; raised the probe timeout and interval, and PRD-AUTH-05 stayed reliably in rotation.",High,6
722,Storage volume nearly full,[TCK-86386] Reported by the Ahmedabad Office team: the primary storage volume is at 96% capacity and writes are beginning to fail for several services. Please investigate and resolve.,Storage,"Reclaimed space by purging expired snapshots and old logs, then extended the volume; utilization dropped to a safe 60%.",Medium,1
723,DNS resolution failing for Field Service App,"[TCK-69364] We are observing that clients cannot resolve the hostname for Field Service App, receiving NXDOMAIN responses. Requesting priority attention from the relevant team.",Network,"A stale DNS record for Field Service App was corrected on the authoritative server and the resolver caches were flushed, restoring resolution.",High,3
724,Load balancer dropping backends behind PRD-DB-12,[TCK-91034] We are observing that the load balancer keeps marking PRD-DB-12 as unhealthy and pulling it out of rotation despite the service running. Requesting priority attention from the relevant team.,Infrastructure,"The health-check endpoint on PRD-DB-12 was timing out under load; raised the probe timeout and interval, and PRD-DB-12 stayed reliably in rotation.",Medium,6
725,Exposed secret found in repository,[TCK-58439] We are observing that an automated scan detected a live cloud access key committed to a source repository. Requesting priority attention from the relevant team.,Security,"Revoked the leaked cloud key immediately, rotated all affected credentials, and enabled pre-commit secret scanning to block future leaks.",High,5
726,Kubernetes node PRD-QUEUE-06 in NotReady state,[TCK-35525] Monitoring alerted us that node PRD-QUEUE-06 shows NotReady in the cluster and pods scheduled on it are stuck in Pending. Escalating for investigation.,Infrastructure,Restarted the kubelet on PRD-QUEUE-06 and cleared a stale disk-pressure taint; the node rejoined the cluster and pods rescheduled.,High,3
727,MFA reset request for t.rao,[TCK-67254] Flagged during routine checks: user t.rao lost their phone and cannot complete multi-factor authentication to sign in. Please confirm root cause and next steps.,Access Management,"Verified t.rao out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",Low,5
728,HR Self-Service says it can't find the data,"[TCK-53013] Reported by the Noida Tech Park team: HR Self-Service shows an error mentioning a broken connection to where the data is kept, and no records load at all. Please investigate and resolve.",Database,Diagnosed a dropped connection between HR Self-Service and sessions_redis caused by a credentials rotation; updated the stored connection string and confirmed HR Self-Service could load data again.,High,7
729,Analytics Dashboard integration with Twilio failing,[TCK-69436] Monitoring alerted us that the Analytics Dashboard integration with Twilio has stopped syncing and shows repeated authentication failures. Escalating for investigation.,Application,"The Twilio API credentials used by Analytics Dashboard had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Low,5
730,Permissions incorrect on \\nas03\media,[TCK-80198] User v.nair reports that several Remote/WFH users report they can see the folder \\nas03\media but get 'access denied' when opening files inside it. Kindly look into this at the earliest.,Storage,Corrected the inherited NTFS permissions on \\nas03\media for the relevant Remote/WFH group and re-propagated ACLs so the files opened as expected.,High,6
731,Scheduled job failing on PRD-APP-03,[TCK-89423] Issue summary: the nightly batch job on PRD-APP-03 has failed three consecutive runs with a non-zero exit code. It started earlier today and has not self-resolved.,Infrastructure,Found the cron job on PRD-APP-03 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,Medium,5
732,Brute-force attack against Learning Management System login,[TCK-91500] User t.rao reports that monitoring shows a high-volume password-guessing attack hammering the Learning Management System login endpoint from many IP addresses. Kindly look into this at the earliest.,Security,"Enabled rate limiting and account lockout on the Learning Management System login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
733,Permissions incorrect on \\nas03\projects,[TCK-20256] Flagged during routine checks: several Kolkata Branch users report they can see the folder \\nas03\projects but get 'access denied' when opening files inside it. Please confirm root cause and next steps.,Storage,Corrected the inherited NTFS permissions on \\nas03\projects for the relevant Kolkata Branch group and re-propagated ACLs so the files opened as expected.,High,6
734,Login broken on Procurement Portal,[TCK-76160] We are observing that no user can log in to Procurement Portal; the login page accepts credentials then redirects back to itself. Requesting priority attention from the relevant team.,Application,The Procurement Portal session cookie domain was misconfigured after a deploy; corrected the cookie settings and cleared the CDN cache to fix login.,Medium,2
